corruption,severity,method,accuracy,mean_confidence,ece
clean,0,classifier,0.7623,0.8316,0.0805
clean,0,lookup_vote,0.6085,0.8357,0.2272
clean,0,lookup_dist,0.6085,0.6432,0.0484
blur,1,classifier,0.7483,0.8279,0.0815
blur,1,lookup_vote,0.6119,0.8431,0.2312
blur,1,lookup_dist,0.6119,0.6478,0.0541
blur,2,classifier,0.7011,0.8047,0.1089
blur,2,lookup_vote,0.6019,0.8448,0.243
blur,2,lookup_dist,0.6019,0.6449,0.0538
blur,3,classifier,0.5999,0.6951,0.0953
blur,3,lookup_vote,0.5919,0.8581,0.2662
blur,3,lookup_dist,0.5919,0.6054,0.043
jpeg,1,classifier,0.757,0.8375,0.0918
jpeg,1,lookup_vote,0.6178,0.8431,0.2252
jpeg,1,lookup_dist,0.6178,0.6382,0.0627
jpeg,2,classifier,0.7297,0.8192,0.0919
jpeg,2,lookup_vote,0.5992,0.8423,0.243
jpeg,2,lookup_dist,0.5992,0.6013,0.0584
jpeg,3,classifier,0.5399,0.6,0.0805
jpeg,3,lookup_vote,0.4154,0.793,0.3776
jpeg,3,lookup_dist,0.4154,0.4489,0.0533
lowlight,1,classifier,0.6838,0.7763,0.0948
lowlight,1,lookup_vote,0.6172,0.835,0.2179
lowlight,1,lookup_dist,0.6172,0.6364,0.0413
lowlight,2,classifier,0.4847,0.4913,0.0981
lowlight,2,lookup_vote,0.6138,0.8371,0.2232
lowlight,2,lookup_dist,0.6138,0.6165,0.0444
lowlight,3,classifier,0.0333,0.2727,0.2395
lowlight,3,lookup_vote,0.5772,0.8272,0.25
lowlight,3,lookup_dist,0.5772,0.5016,0.0787
noise,1,classifier,0.7277,0.8,0.0723
noise,1,lookup_vote,0.6178,0.8481,0.2302
noise,1,lookup_dist,0.6178,0.6426,0.0374
noise,2,classifier,0.1332,0.3773,0.2441
noise,2,lookup_vote,0.5766,0.8435,0.2669
noise,2,lookup_dist,0.5766,0.5738,0.0143
noise,3,classifier,0.0146,0.2849,0.2704
noise,3,lookup_vote,0.3975,0.78,0.3825
noise,3,lookup_dist,0.3975,0.4764,0.0875
rotate,1,classifier,0.6824,0.7432,0.0778
rotate,1,lookup_vote,0.5746,0.8216,0.247
rotate,1,lookup_dist,0.5746,0.5555,0.0297
rotate,2,classifier,0.6944,0.7434,0.0546
rotate,2,lookup_vote,0.5799,0.8265,0.2466
rotate,2,lookup_dist,0.5799,0.5227,0.0709
rotate,3,classifier,0.6312,0.6775,0.0562
rotate,3,lookup_vote,0.5719,0.8311,0.2592
rotate,3,lookup_dist,0.5719,0.5448,0.0355
